Id,City Name,State Name,latitude,longitude,year,month,day,Pollution Level,AQI Level,Vulnerable Population,Hospital Admissions,Renewable Energy Source,Particulate Matter,Nitrogen Oxides,Sulfur Dioxide,Ozone,Carbon Monoxide
1,Birmingham,Alabama,33.5207,-86.8025,2016,1,1,10,30,Children,45,Solar power,5,10,15,20,25
2,Huntsville,Alabama,34.7304,-86.5861,2016,1,2,8,25,Elderly,36,Wind power,4,8,12,16,20
3,Mobile,Alabama,30.6954,-88.0399,2016,1,3,12,35,Low income,54,Solar power,6,12,18,24,30
4,Montgomery,Alabama,32.3792,-86.3077,2016,1,4,9,27,Children,40,Wind power,5,9,13,17,21
5,Tuscaloosa,Alabama,33.2098,-87.5692,2016,1,5,11,33,Elderly,49,Solar power,7,11,16,22,27
6,Decatur,Alabama,34.6059,-86.9833,2016,1,6,8,25,Low income,36,Wind power,4,8,12,16,20
7,Dothan,Alabama,31.2232,-85.3905,2016,1,7,10,30,Children,45,Solar power,5,10,15,20,25
8,Florence,Alabama,34.7998,-87.6773,2016,1,8,7,20,Elderly,31,Wind power,3,7,11,15,18
9,Gadsden,Alabama,34.0143,-86.0066,2016,1,9,9,27,Low income,40,Solar power,5,9,14,19,23
10,Anniston,Alabama,33.6598,-85.8316,2016,1,10,10,30,Children,45,Wind power,5,10,15,20,25
11,Prattville,Alabama,32.464,-86.4597,2016,1,11,11,33,Elderly,49,Solar power,7,11,16,22,27
12,Birmingham,Alabama,33.5186,-86.8104,2016,1,3,59,77,Children,26,Solar power,6,10,4,39,6
13,Birmingham,Alabama,33.5186,-86.8104,2016,1,5,63,81,Elderly,24,Wind power,7,11,5,42,7
14,Birmingham,Alabama,33.5186,-86.8104,2016,1,8,57,74,Pregnant women,27,Solar power,5,9,4,37,5
15,Birmingham,Alabama,33.5186,-86.8104,2016,1,10,61,79,Children,29,Wind power,6,10,5,40,6
16,Birmingham,Alabama,33.5186,-86.8104,2016,1,12,65,83,Elderly,31,Solar power,8,12,6,44,8
17,Huntsville,Alabama,34.7304,-86.5861,2016,2,2,52,68,Pregnant women,18,Wind power,5,8,3,31,5
18,Huntsville,Alabama,34.7304,-86.5861,2016,2,5,57,74,Children,22,Solar power,6,9,4,37,6
19,Huntsville,Alabama,34.7304,-86.5861,2016,2,7,60,77,Elderly,25,Wind power,7,10,5,39,7
20,Huntsville,Alabama,34.7304,-86.5861,2016,2,10,53,69,Pregnant women,19,Solar power,5,8,3,31,5
21,Huntsville,Alabama,34.7304,-86.5861,2016,2,12,58,75,Children,23,Wind power,6,9,4,37,6
22,Mobile,Alabama,30.6954,-88.0399,2016,3,2,44,58,Elderly,16,Solar power,3,6,2,26,3
23,Anchorage,Alaska,61.2181,-149.9003,2016,1,1,12,50,Children,18,Wind power,5,10,2,25,7
24,Fairbanks,Alaska,64.8354,-147.6534,2016,1,2,18,65,Elderly,9,Solar power,8,20,4,30,10
25,Juneau,Alaska,58.3019,-134.4197,2016,1,3,15,60,Children,13,Hydroelectric,6,12,3,28,8
26,Sitka,Alaska,57.0531,-135.33,2016,1,4,10,40,Elderly,4,Wind power,3,8,1,20,5
27,Ketchikan,Alaska,55.3422,-131.6461,2016,1,5,8,35,Children,2,Solar power,2,5,1,15,4
28,Wasilla,Alaska,61.5814,-149.4394,2016,1,6,13,55,Elderly,10,Hydroelectric,7,15,3,27,9
29,Bethel,Alaska,60.7922,-161.7558,2016,1,7,22,80,Children,27,Wind power,10,25,5,40,15
30,Barrow,Alaska,71.2906,-156.7886,2016,1,8,30,100,Elderly,45,Solar power,15,40,8,60,20
31,Homer,Alaska,59.6425,-151.5483,2016,1,9,14,60,Children,7,Hydroelectric,5,12,2,30,8
32,Kodiak,Alaska,57.79,-152.4072,2016,1,10,12,50,Elderly,4,Wind power,3,10,1,22,6
33,Nome,Alaska,64.5011,-165.4064,2016,1,11,24,75,Children,18,Solar power,12,30,5,45,13
34,Seward,Alaska,60.1042,-149.4422,2016,2,12,17,67,Elderly,13,Wind power,8,28,7,52,14
35,Kotzebue,Alaska,66.8987,-162.5966,2016,3,9,22,72,Pregnant women,16,Hydroelectric,10,32,4,49,11
36,Nome,Alaska,64.5011,-165.4064,2016,4,5,18,65,Children,11,Solar power,9,28,6,47,10
37,Seward,Alaska,60.1042,-149.4422,2016,5,19,14,54,Elderly,10,Wind power,7,25,5,43,9
38,Kotzebue,Alaska,66.8987,-162.5966,2016,6,6,26,78,Pregnant women,17,Hydroelectric,11,31,3,50,12
39,Nome,Alaska,64.5011,-165.4064,2016,7,14,21,70,Children,15,Solar power,10,29,5,46,12
40,Seward,Alaska,60.1042,-149.4422,2016,8,25,16,60,Elderly,12,Wind power,8,27,6,44,10
41,Kotzebue,Alaska,66.8987,-162.5966,2016,9,9,20,68,Pregnant women,14,Hydroelectric,12,30,4,48,13
42,Nome,Alaska,64.5011,-165.4064,2016,10,3,19,67,Children,12,Solar power,9,28,5,45,11
43,Seward,Alaska,60.1042,-149.4422,2016,11,16,13,51,Elderly,9,Wind power,6,23,4,38,8
44,Kotzebue,Alaska,66.8987,-162.5966,2016,12,2,24,77,Pregnant women,19,Hydroelectric,13,33,3,51,15
